County,Total Population,White Population,Black or African American Population,American Indian and Alaska Native Population,Asian Population,Male Population,Female Population,Hispanic or Latino Population,Median Household Income (Overall),Median Household Income (White Alone),Median Household Income (Black or African American Alone),Median Household Income (American Indian and Alaska Native Alone),Median Household Income (Asian Alone),Median Household Income (Native Hawaiian and Other Pacific Islander Alone),Median Household Income (Some Other Race Alone),Median Household Income (Two or More Races),Median Household Income (Hispanic or Latino),Speak Only English at Home (Population 5 years and over),Speak Spanish at Home (Population 5 years and over),Speak Other Indo-European Languages at Home (Population 5 years and over),Speak Asian and Pacific Island Languages at Home (Population 5 years and over),Speak Other Languages at Home (Population 5 years and over),Year
"Union County, North Carolina",181852.0,148082.0,22251.0,820.0,2328.0,90649.0,91203.0,137396.0,60074.0,63319.0,37620.0,47096.0,79647.0,2499.0,27366.0,75469.0,38628.0,148527.0,13798.0,355.0,41.0,101.0,2009
"Vance County, North Carolina",42987.0,19256.0,20897.0,142.0,345.0,20309.0,22678.0,18707.0,33874.0,44921.0,25974.0,55104.0,37165.0,,19103.0,20667.0,19970.0,36894.0,2257.0,86.0,0.0,0.0,2009
"Wake County, North Carolina",828759.0,572482.0,167128.0,2723.0,37878.0,410281.0,418478.0,540076.0,64008.0,73622.0,40059.0,67832.0,82991.0,42664.0,32998.0,52083.0,37760.0,650272.0,57378.0,5048.0,599.0,1395.0,2009
"Warren County, North Carolina",19545.0,7652.0,10230.0,927.0,231.0,9776.0,9769.0,7446.0,27876.0,42674.0,25049.0,20938.0,105958.0,,36538.0,64444.0,39018.0,17593.0,628.0,0.0,0.0,0.0,2009
"Washington County, North Carolina",12979.0,5919.0,6466.0,46.0,23.0,6328.0,6651.0,5873.0,32845.0,47803.0,19713.0,61250.0,,,68054.0,,67946.0,11645.0,427.0,0.0,0.0,14.0,2009
"Watauga County, North Carolina",44636.0,42554.0,569.0,72.0,340.0,22212.0,22424.0,42043.0,33801.0,33980.0,22917.0,15625.0,52540.0,,9615.0,22216.0,20284.0,41102.0,936.0,94.0,0.0,5.0,2009
"Wayne County, North Carolina",113290.0,68735.0,36343.0,269.0,886.0,55201.0,58089.0,66067.0,40325.0,49053.0,29013.0,42500.0,65096.0,,27833.0,32455.0,31652.0,96847.0,6059.0,187.0,26.0,8.0,2009
"Wilkes County, North Carolina",66563.0,60166.0,2691.0,241.0,474.0,32889.0,33674.0,59270.0,34154.0,34291.0,26477.0,,101250.0,,25450.0,39141.0,25650.0,59083.0,2929.0,68.0,0.0,0.0,2009
"Wilson County, North Carolina",76765.0,41042.0,29611.0,413.0,455.0,36687.0,40078.0,39237.0,38712.0,50256.0,26358.0,33974.0,7437.0,2499.0,27405.0,43269.0,33125.0,64953.0,5225.0,51.0,24.0,41.0,2009
"Yadkin County, North Carolina",37520.0,33887.0,1395.0,80.0,68.0,18298.0,19222.0,32445.0,38105.0,39649.0,32136.0,11518.0,,,25588.0,34708.0,24716.0,32507.0,2532.0,32.0,0.0,0.0,2009
"Yancey County, North Carolina",18336.0,17835.0,74.0,91.0,127.0,9080.0,9256.0,17028.0,34949.0,34870.0,29500.0,40682.0,2499.0,,18000.0,45333.0,24141.0,16488.0,855.0,18.0,0.0,0.0,2009
"Alamance County, North Carolina",147072.0,103107.0,26668.0,396.0,1756.0,70095.0,76977.0,100158.0,44167.0,49372.0,28235.0,47143.0,60241.0,38558.0,32212.0,26563.0,34541.0,121846.0,12985.0,239.0,0.0,106.0,2010
"Alexander County, North Carolina",36797.0,32700.0,1862.0,83.0,340.0,18295.0,18502.0,32405.0,40014.0,42336.0,31375.0,49688.0,38958.0,115250.0,19087.0,36332.0,19776.0,32961.0,1353.0,38.0,0.0,0.0,2010
"Alleghany County, North Carolina",11084.0,10025.0,69.0,15.0,31.0,5643.0,5441.0,9889.0,30845.0,30607.0,42500.0,-666666666.0,-666666666.0,-666666666.0,41111.0,23750.0,37672.0,9533.0,1024.0,0.0,0.0,0.0,2010
"Anson County, North Carolina",26785.0,12473.0,13248.0,186.0,276.0,13975.0,12810.0,12379.0,34745.0,42854.0,26014.0,13017.0,19375.0,-666666666.0,-666666666.0,30568.0,28333.0,24487.0,421.0,30.0,0.0,0.0,2010
"Ashe County, North Carolina",26787.0,25739.0,30.0,52.0,37.0,13181.0,13606.0,25451.0,34538.0,35203.0,-666666666.0,18333.0,21563.0,-666666666.0,27994.0,26188.0,27674.0,24097.0,1165.0,17.0,0.0,0.0,2010
"Avery County, North Carolina",17951.0,15652.0,584.0,166.0,112.0,9661.0,8290.0,15196.0,34918.0,35944.0,-666666666.0,16192.0,11898.0,60688.0,20496.0,18472.0,22982.0,16028.0,733.0,30.0,0.0,0.0,2010
